REAL-WORK	6484a07b7221	claude/fire-20260818T031629Z-40497-1	0/1/-	None
CLOSABLE	547819348e19	claude/fire-20260818T075756Z-6910-1	0/0/-	None
CLOSABLE	271a7e692e46	claude/fire-20260818T075756Z-6910-1	0/0/-	None
CLOSABLE	0aa0bf97389d	claude/fire-20260818T075756Z-6910-1	0/0/-	None
CLOSABLE	4fe49c9e33d7	claude/fire-20260818T080549Z-15840-1	0/0/-	None
CLOSABLE	2f73d4b368a0	claude/fire-20260818T080549Z-15840-1	0/0/-	None
REAL-WORK	ed20da9f2023	backlog-telemetry	1/-/-	1
REAL-WORK	4ba12dfcd30e	blockbrake-rootcause	0/-/-	1
REAL-WORK	a2ddd2e052dd	claude/fire-20260819T163921Z-49568-1	1/1/-	1
REAL-WORK	b72ab0dee516	claude/fire-20260820T072239Z-62612-1	1/1/-	1
REAL-WORK	8bd22004b068	claude/fire-20260820T100554Z-18146-1	1/1/-	1
CLOSABLE	c673e7f2b1af	claude/fire-20260820T172902Z-13979-1	0/0/-	None
CLOSABLE	b005bc88daca	claude/fire-20260821T064958Z-19839-1	0/0/-	None
REAL-WORK	62fec5a1bcd4	claude/fire-20260823T105633Z-54020-1	1/1/-	1
REAL-WORK	7f3c1ff4a3ad	claude/fire-20260823T133109Z-76670-1	1/1/-	1
REAL-WORK	c2f2caca7730	claude/fire-20260824T093704Z-75835-1	1/1/-	1
REAL-WORK	b8470a38dd1b	claude/fire-20260824T094905Z-7292-1	1/1/-	1
REAL-WORK	a31809074678	claude/fire-20260824T100743Z-17590-1	1/1/-	1
REAL-WORK	698b3c154763	claude/fire-20260824T112413Z-20577-1	1/1/-	1
CLOSABLE	7b6a27c2ae61	claude/fire-20260824T114501Z-66552-1	0/0/-	None
REAL-WORK	4dac1bf2d042	claude/fire-20260824T170931Z-33628-1	1/1/-	1
REAL-WORK	96a4a9b75d65	claude/fire-20260824T175203Z-47701-1	1/1/-	1
REAL-WORK	16aa6e102124	claude/fire-20260824T190814Z-11760-1	1/1/-	1
REAL-WORK	e3b8acbd4c90	claude/fire-20260824T222412Z-92302-1	1/1/-	1
REAL-WORK	cfb7f4512de5	claude/fire-20260824T223846Z-78701-1	1/1/-	1
REAL-WORK	4a0e50459ad5	claude/fire-20260825T062518Z-57641-1	1/1/-	1
REAL-WORK	c769037870db	claude/fire-20260825T155840Z-59097-1	1/1/-	None
REAL-WORK	be2331814849	claude/fire-20260825T184512Z-6494-1	1/1/-	None
REAL-WORK	6cc4981886d5	claude/fire-20260827T190208Z-97671-1	0/1/-	None
REAL-WORK	36798ddce9bd	claude/fire-20260828T170252Z-77745-1	0/1/-	None
REAL-WORK	8f00d10ca134	claude/fire-20260829T013511Z-80728-1	0/1/-	None
REAL-WORK	2b0289019fb9	claude/fire-20260831T013209Z-8912-1	1/1/-	None
REAL-WORK	e0bbb00c86da	claude/fire-20260831T212113Z-47401-1	1/1/-	1
REAL-WORK	e8c9314024c9	claude/fire-20260901T035401Z-22411-1	1/1/-	1
REAL-WORK	2fde9f01b817	close-shape-v2	1/-/-	1
REAL-WORK	84b868dd94b7	cloud-lane-100p	1/-/-	1
REAL-WORK	3264de637bb8	cloud-notstarted	1/-/-	1
CLOSABLE	b8e70ba81bc6	drain-deadline-w5	0/-/-	0
REAL-WORK	d94a415e704c	drain-localane-w4	1/-/-	1
CLOSABLE	20dfe582a873	drain-loop-w3	0/-/0	0
CLOSABLE	8a182940b7f0	drain-telemetry-s1s3	0/-/-	0
CLOSABLE	caca0b4d0286	drain-telemetry-w2	0/-/-	0
REAL-WORK	b262e41b26fb	drain/recycle-11	0/-/0	1
REAL-WORK	654cbb468f66	feat/cloud-inbox	1/-/-	1
REAL-WORK	62456380ccab	feat/keep-laptop-alive	0/-/0	1
CLOSABLE	a08e5f60d881	feat/reply-chain-preservation	0/-/-	0
CLOSABLE	ae5b585138db	fix/cloud-list-fixed-cost	0/-/0	0
REAL-WORK	2f525a0bccc0	fix/config-mirror-report-forks	1/-/1	1
REAL-WORK	0c22de0e3b1b	fix/deps-install-timeout	1/-/0	1
REAL-WORK	8900438590a2	fix/goal-arm-readback-poll	1/-/0	1
REAL-WORK	19b8512354c5	fix/land-stranded-nightly-cutstamp	1/-/0	1
REAL-WORK	ec2614142185	fix/r3-cloud-land	1/-/-	1
REAL-WORK	2eb406966646	fix/resume-layout-per-monitor	1/-/-	1
REAL-WORK	5b4a4809bcf5	fix/router-instrument-abstain	0/-/-	1
REAL-WORK	9ef51331816f	fix/stop-chain-asymmetries	1/-/-	1
REAL-WORK	5318d2fe2692	fix/wake-path-notice-truth	1/-/-	1
REAL-WORK	1614bb6a55d0	foldfix-orphan	1/-/-	1
CLOSABLE	34fcf30da601	mem-w1c-fleet-sweep	0/-/-	0
REAL-WORK	7a5eb14ee6fa	recycle-100p	1/-/-	1
REAL-WORK	6becd3f79d75	sigterm-forensics	1/-/-	1
CLOSABLE	1fd6084ecc53	wakepath-notice	0/-/-	0
REAL-WORK	f46701ef3192	wt-mem-gate	1/-/0	1
REAL-WORK	1f85fa508628	wt-mem-routing	1/-/0	1
