# branch	sha	stranded	landed	last_commit_utc	verdict
origin	f5f4e99f7a4c98e7329127927f98f6ecef48bd26	0	0	2026-08-19T13:05:38Z	HOLD-young
ab-local-1	f00dd2a19ebfa06132b6ade64f0a6b449bd8efb5	1	0	2026-08-11T18:20:21Z	HOLD-stranded
ab-local-2	4e97de76a45097e2580f4cf927655409afcb0412	1	0	2026-08-11T18:23:31Z	HOLD-stranded
claude/fire-20260810T174949Z-50819-1	bd67e74704bd40bb1c0ef79911e294d601b19a82	0	1	2026-08-10T17:51:07Z	PRUNE
claude/fire-20260811T035034Z-93119-1	90f2f50e2aa10752761373e39464526c86f43166	0	1	2026-08-11T03:58:00Z	PRUNE
claude/fire-20260811T045738Z-35940-1	6abf7b64e85437f7beb9c7bbe1ca94c9fed6070e	0	2	2026-08-11T05:11:15Z	PRUNE
claude/fire-20260811T071610Z-36566-1	4c344df2363213423c44b799698b3433e359542b	0	1	2026-08-11T08:44:43Z	PRUNE
claude/fire-20260811T180903Z-57078-1	7a2e2faa6d1d3d17b91978e675ca714d8a5f6db7	2	0	2026-08-11T18:11:26Z	HOLD-stranded
claude/fire-20260811T180908Z-57078-2	78d4553657d368bee1bc73627f16abedc71d83df	1	0	2026-08-11T18:11:03Z	HOLD-stranded
claude/fire-20260811T185616Z-188-1	2be46d050b6cd41297f2f450a42326e408faabb4	0	1	2026-08-11T18:57:03Z	PRUNE
claude/fire-20260811T193743Z-35340-1	0f9c5bf21b7c3fe43d802d9267e4fdb21ce1487d	0	2	2026-08-11T19:38:54Z	PRUNE
claude/fire-20260811T202615Z-68218-1	e6c356937d34571e70b903ca82c7c0dd0710c79a	0	2	2026-08-11T20:45:51Z	PRUNE
claude/fire-20260812T034126Z-64880-1	071751fd7c55cfd3223d8c29e7f5bf405efc3b6c	0	1	2026-08-12T03:58:31Z	PRUNE
claude/fire-20260812T035906Z-6336-1	28379a8ed3c2d7bceecaf1e9e8fd39bfc95a8cf0	1	0	2026-08-12T04:25:41Z	HOLD-stranded
claude/fire-20260812T040633Z-32515-1	4053f324f250fb287a499480482791f7d0633972	0	1	2026-08-12T04:17:58Z	PRUNE
claude/fire-20260812T041557Z-41314-1	4e339f42c117d03d2035f1050505022e0f81f715	0	1	2026-08-12T04:39:22Z	PRUNE
claude/fire-20260812T041805Z-63966-1	4ea70dda15e487a4372b18c8ec38e8bb5b623f78	0	1	2026-08-12T04:31:40Z	PRUNE
claude/fire-20260812T071538Z-80941-1	6eb74d04045871b78a9f25affd76dee5a54fe724	1	0	2026-08-12T07:33:45Z	HOLD-stranded
claude/fire-20260812T101142Z-96453-1	613e92b67793f82b9f5a22f605c5d74b3ea3cf48	0	1	2026-08-12T10:26:00Z	PRUNE
claude/fire-20260812T102647Z-1549-1	24c74fe5051c907275aa0ca9730c93b689930a0d	0	1	2026-08-12T10:38:07Z	PRUNE
claude/fire-20260812T120520Z-80623-1	392d9b0b5e279e215edf418e29252cde2bbedce1	0	1	2026-08-12T12:47:10Z	PRUNE
claude/fire-20260812T133330Z-14361-1	6e7bdd2e825efd782b5cd82c9e8c5c0d998c06d0	1	0	2026-08-12T13:53:56Z	HOLD-stranded
claude/fire-20260812T172113Z-3600-1	9c1ad2405b4df4d98320ad8443e7f63f00026be7	0	2	2026-08-12T17:36:11Z	PRUNE
claude/fire-20260812T172304Z-17049-1	9e4fd324b39ec19da36e96e545a20e5622416152	0	1	2026-08-12T17:40:15Z	PRUNE
claude/fire-20260813T004751Z-73173-1	668b1f7fc3786db3851d69c1500bfb48083812af	0	5	2026-08-14T11:01:36Z	PRUNE
claude/fire-20260813T004918Z-40705-1	da2340c2d4d8c245bf466ca61689c3d825760893	1	0	2026-08-13T01:16:49Z	HOLD-stranded
claude/fire-20260813T021725Z-35323-1	be3d7e54ffea5fcc4780fb2125ffc4040b34b1ce	1	2	2026-08-13T02:47:44Z	HOLD-stranded
claude/fire-20260813T071724Z-12450-1	44de2d8058789c6e6ccbcdd90afcbff498d2380d	1	0	2026-08-13T07:45:05Z	HOLD-stranded
claude/fire-20260813T072902Z-95114-1	28ce6fbd81c5158c459acc2ad1a5c422f7375c58	1	0	2026-08-13T07:44:27Z	HOLD-stranded
claude/fire-20260813T073640Z-76046-1	9a3ca41c2d7cce058415056222d1d07aae57b713	0	1	2026-08-13T08:01:45Z	PRUNE
claude/fire-20260813T132639Z-56041-1	3e82a05ee63f89207660079161cc3ff7aa8f6768	0	1	2026-08-13T13:40:57Z	PRUNE
claude/fire-20260813T143802Z-7316-1	40423d92298e9967fca6f838e052d68a27b6e267	0	1	2026-08-13T15:41:43Z	PRUNE
claude/fire-20260813T144139Z-28443-1	e6031f675f1eb301b78079c2e65cc40b385c48b9	0	1	2026-08-13T15:07:34Z	PRUNE
claude/fire-20260813T145006Z-93736-1	e4d0d508a01d47a636c13bfa3f847e6929b61462	1	0	2026-08-13T15:05:04Z	HOLD-stranded
claude/fire-20260813T213530Z-12914-1	265e59b4edb776929db01c3ec7bbf9e885caef12	3	0	2026-08-13T21:48:14Z	HOLD-stranded
claude/fire-20260813T214112Z-31568-1	3cdda4a72f7fc2fe55427dedc367a53be15731b1	0	1	2026-08-13T22:13:57Z	PRUNE
claude/fire-20260813T220416Z-95575-1	85f82dba9413aac4abf0dd4b6b13c70561a3d155	0	2	2026-08-13T22:16:27Z	PRUNE
claude/fire-20260814T035229Z-25014-1	13bb5111498663133977eae1eaf491e31e33658b	0	1	2026-08-14T04:07:07Z	PRUNE
claude/fire-20260814T040902Z-84790-1	e88284e7339de7de49e85539d626ab84643a5209	0	1	2026-08-14T04:25:20Z	PRUNE
claude/fire-20260814T041018Z-97071-1	1a1b0eac9a2e385b09cdda516a197a0cc5bed713	0	2	2026-08-14T04:27:21Z	PRUNE
claude/fire-20260814T055432Z-40416-1	93774a9dc345dc9764bcc914eaf40fa56da90034	1	1	2026-08-14T06:26:19Z	HOLD-stranded
claude/fire-20260814T055850Z-49541-1	73b2f4dc00e9fa0742a038c4ac36e097f3e12040	0	1	2026-08-14T06:04:13Z	PRUNE
claude/fire-20260814T062329Z-16069-1	b5ea8c9a682c3ab2bb27d9d49b04359c85c73071	0	1	2026-08-14T06:35:34Z	PRUNE
claude/fire-20260814T105304Z-18907-1	1735f618776678a970bc34a0cec0689839951993	0	1	2026-08-14T10:59:57Z	PRUNE
claude/fire-20260814T115801Z-1384-1	6c9745b615c64874618cf64a69c2a2f5cd89884f	0	1	2026-08-14T12:07:12Z	PRUNE
claude/fire-20260814T131036Z-51667-1	eaa5aa9d87c0b56117f6a42b25e52ac0281a8cf3	0	1	2026-08-14T13:23:55Z	PRUNE
claude/fire-20260814T203044Z-79437-1	af7291ceb745d46493a44fc7f11d6ec2cf8df67f	1	0	2026-08-14T20:40:32Z	HOLD-stranded
claude/fire-20260814T204405Z-76022-1	33fd10a986f83796aa7dec0e86673b7010a4fc33	0	1	2026-08-14T21:18:17Z	PRUNE
claude/fire-20260814T215941Z-88577-1	bfc6aa5bbeb6d2a6b7778dd95e6dd4944b64db62	0	1	2026-08-14T22:03:21Z	PRUNE
claude/fire-20260814T231753Z-5017-1	513a02a2a6a74ca55e511cb73b19ffabb8d243d3	1	0	2026-08-14T23:28:13Z	HOLD-stranded
claude/fire-20260815T031727Z-93323-1	7b383fdb81a5b5bab637fca4dfeef2f9744e1915	1	0	2026-08-15T04:12:08Z	HOLD-stranded
claude/fire-20260815T031824Z-43363-1	4807d0066723a5b0fcf960e3dcbc7d9a536faad7	0	1	2026-08-15T03:24:21Z	PRUNE
claude/fire-20260815T032514Z-11417-1	d51c04fe4420497bde0b066d1d93c305372582ec	0	1	2026-08-15T03:37:18Z	PRUNE
claude/fire-20260815T061715Z-26728-1	0524eda787093fdfb39908a3a0246e9fb71476d3	0	2	2026-08-15T08:17:02Z	PRUNE
