# capacity-marginal §6 run — 2026-09-08, 10-core Darwin box (backlog 193ae8ddce72)
# driver: scripts/capacity-marginal-run.sh --out ... ; analyzer verdict reproduced below
#
# CAPACITY-MARGINAL  n=85  n_eff=85.0  span=5202s  unit=proc  load1 14.97..154.89 (10.35x)
#   C1 LEVEL      PASS  tertile ratios 1.155 / 1.021 / 1.209 swing 1.18x
#   C2 DYNAMICS   PASS  corr(load1, census) = 0.835 over n_eff 85.0
#   C3 IDENTIFY   PASS  active spans 5..11 over 7 levels, 85 rows
# VERDICT: MARGINAL 2.390 load units per ACTIVE session  (+/- 0.533, 1 s.e.; ratio 1.158 load/runnable-proc)
#   for contrast, the pooled load1~active fit this replaces: 5.994  [UNIDENTIFIED — 87% of the numerator is not Claude]
#ts	load1	unit	total_run	claude_run	active	resident
1788899926	16.48	proc	19	4	5	24
1788899987	18.86	proc	20	5	5	25
1788900049	20.29	proc	29	2	5	25
1788900110	16.94	proc	15	0	5	25
1788900172	17.52	proc	12	2	5	25
1788900233	22.59	proc	25	5	5	25
1788900295	23.39	proc	10	2	6	24
1788900356	20.90	proc	11	2	6	24
1788900418	22.29	proc	40	6	6	24
1788900479	23.75	proc	17	2	6	23
1788900541	34.88	proc	30	7	5	23
1788900603	25.46	proc	15	2	6	23
1788900664	18.87	proc	14	1	6	23
1788900725	18.95	proc	14	1	5	23
1788900786	19.25	proc	12	4	5	23
1788900847	19.27	proc	14	4	5	23
1788900907	20.53	proc	19	4	5	23
1788900968	19.88	proc	20	3	5	23
1788901029	20.27	proc	16	4	6	24
1788901090	20.12	proc	17	3	6	24
1788901151	24.62	proc	10	3	6	24
1788901212	20.59	proc	15	3	6	24
1788901273	21.47	proc	19	6	6	24
1788901334	17.39	proc	20	4	6	24
1788901396	17.37	proc	13	2	6	24
1788901456	20.18	proc	21	4	6	24
1788901517	22.55	proc	26	11	7	24
1788901579	24.99	proc	39	8	8	24
1788901640	27.01	proc	18	6	6	24
1788901701	24.82	proc	26	9	6	24
1788901762	24.32	proc	18	6	6	24
1788901822	21.78	proc	20	6	6	24
1788901883	19.39	proc	15	4	6	24
1788901944	24.16	proc	14	2	7	24
1788902005	26.37	proc	23	3	9	24
1788902066	20.95	proc	20	11	9	24
1788902127	22.48	proc	31	18	9	25
1788902189	21.91	proc	16	3	8	25
1788902250	22.04	proc	30	9	8	25
1788902311	26.72	proc	24	7	7	25
1788902371	32.28	proc	34	6	7	25
1788902433	30.35	proc	28	8	7	25
1788902494	26.62	proc	29	15	9	26
1788902556	23.64	proc	22	9	10	26
1788902617	25.35	proc	22	9	10	26
1788902678	23.67	proc	22	12	10	26
1788902740	21.41	proc	19	4	9	26
1788902801	21.15	proc	12	5	11	28
1788902862	14.97	proc	13	3	10	28
1788902922	15.62	proc	9	3	9	28
1788902983	15.89	proc	16	6	9	28
1788903044	37.82	proc	28	8	8	27
1788903105	28.84	proc	50	9	7	26
1788903166	55.41	proc	47	7	6	26
1788903227	39.83	proc	19	5	6	26
1788903288	34.96	proc	44	6	7	27
1788903349	32.67	proc	38	7	7	27
1788903410	24.96	proc	17	4	7	27
1788903472	21.36	proc	19	4	8	27
1788903533	18.90	proc	17	4	7	27
1788903594	19.31	proc	20	6	7	27
1788903655	22.99	proc	25	7	7	27
1788903717	23.81	proc	33	11	8	27
1788903778	30.46	proc	60	8	8	26
1788903839	48.44	proc	75	15	8	27
1788903900	71.05	proc	84	14	8	27
1788903961	68.97	proc	59	20	7	27
1788904023	109.57	proc	95	15	7	27
1788904084	114.00	proc	93	14	7	27
1788904145	131.08	proc	107	16	7	27
1788904206	131.35	proc	90	19	7	27
1788904267	125.04	proc	67	13	7	27
1788904328	128.74	proc	73	15	8	27
1788904389	134.41	proc	94	26	9	27
1788904451	140.49	proc	55	14	8	27
1788904512	81.91	proc	38	13	8	27
1788904574	56.85	proc	38	8	8	27
1788904635	40.83	proc	23	8	9	27
1788904697	45.06	proc	26	10	9	27
1788904759	43.09	proc	32	15	9	27
1788904821	44.55	proc	39	10	8	27
1788904883	56.23	proc	73	16	8	27
1788904946	77.93	proc	80	14	9	27
1788905009	154.89	proc	103	16	9	27
1788905128	127.70	proc	201	51	9	27
