P     N  Lbg | lands/h  p50min  p95min  maxmin | cpu/land   load rnd95
P0    4   45 |     7.0     5.0    21.1    71.4 |     19.4     48     3
P0    8   45 |    10.4     5.6    58.5   216.2 |     42.3     53     5
P0   15   45 |     5.6    27.9   502.4  1351.7 |    161.3     63     5
P0   25   45 |     3.3     0.2  1426.3  2640.0 |    276.4     63     5
P0   40   45 |     2.4     0.2  2129.5  2814.9 |    384.2     63     5
P1    4   45 |     7.5     2.5     7.7    20.7 |      7.2     46     2
P1    8   45 |    13.9     2.4    14.6    60.4 |     10.7     48     4
P1   15   45 |     6.1    12.2   448.9  1291.3 |     74.1     54     5
P1   25   45 |     3.2    26.5  1380.3  2809.1 |    143.0     54     5
P1   40   45 |     2.3     0.2  1820.7  2774.2 |    195.8     54     5
P2    4   45 |     7.6     2.5     4.4     9.6 |      5.6     46     2
P2    8   45 |    15.1     2.3     5.1    13.3 |      5.5     47     2
P2   15   45 |    27.4     2.7     6.0    13.2 |      6.3     48     3
P2   25   45 |    45.7     2.9     7.9    23.9 |      7.0     51     4
P2   40   45 |    68.3     3.9    15.9    48.8 |      8.6     56     5
P3    4   45 |     7.8     2.4     4.4     8.8 |      5.3     46     1
P3    8   45 |    14.7     2.5     4.8    12.6 |      5.6     47     1
P3   15   45 |    27.7     2.7     5.7    15.6 |      6.1     48     1
P3   25   45 |    44.9     2.9     7.3    21.4 |      6.6     51     1
P3   40   45 |    68.6     4.1    12.2    37.4 |      7.0     54     1
P4    4   45 |     7.5     2.4     5.3     9.5 |      5.0     46     1
P4    8   45 |    14.5     2.8     6.2    17.4 |      5.0     46     1
P4   15   45 |    26.3     3.8     9.6    28.0 |      4.5     47     1
P4   25   45 |    40.3     5.2    19.5    52.9 |      3.9     48     1
P4   40   45 |    54.2     9.7    38.9   121.6 |      3.2     48     1
P5    4   45 |     7.9     2.5     4.5    10.8 |      5.4     46     1
P5    8   45 |    14.7     2.7     5.0    13.2 |      5.9     47     1
P5   15   45 |    28.0     2.8     5.7    14.4 |      6.2     48     1
P5   25   45 |    45.5     2.9     7.1    21.0 |      6.4     50     1
P5   40   45 |    69.5     3.6    10.7    27.8 |      6.7     54     1
P0    4  150 |     6.2     6.4    32.4    77.8 |     21.7    153     4
P0    8  150 |     8.8     7.1   102.6   219.6 |     54.6    161     5
P0   15  150 |     4.7    14.7   638.4  1520.8 |    160.2    168     5
P0   25  150 |     2.8     3.6  1399.0  2523.6 |    272.1    168     5
P0   40  150 |     1.9     0.2  2138.5  2823.1 |    393.2    168     5
P1    4  150 |     7.6     3.2    12.1    33.4 |      7.8    151     3
P1    8  150 |    12.8     3.3    28.9   130.8 |     14.0    154     5
P1   15  150 |     4.7    18.2   611.6  1822.7 |     80.1    159     5
P1   25  150 |     2.7     4.2  1461.5  2733.9 |    139.2    159     5
P1   40  150 |     2.1     0.2  2106.3  2724.8 |    181.8    159     5
P2    4  150 |     7.5     3.2     6.0    11.4 |      5.6    151     2
P2    8  150 |    14.2     3.3     6.7    13.5 |      6.1    152     2
P2   15  150 |    26.7     3.5     7.9    19.6 |      6.5    154     3
P2   25  150 |    43.6     4.2    13.2    33.0 |      7.8    158     4
P2   40  150 |    59.8     7.8    32.8    99.1 |      9.6    164     5
P3    4  150 |     7.3     3.3     6.0    11.0 |      5.6    151     1
P3    8  150 |    14.6     3.3     6.5    12.4 |      5.7    152     1
P3   15  150 |    26.6     3.5     7.5    21.3 |      6.2    154     1
P3   25  150 |    43.6     4.1    10.4    33.0 |      6.8    157     1
P3   40  150 |    60.9     7.8    20.4    54.8 |      7.1    160     1
P4    4  150 |     7.2     3.3     6.9    14.9 |      5.0    151     1
P4    8  150 |    14.0     3.9     9.3    23.9 |      5.0    152     1
P4   15  150 |    24.3     5.4    17.7    54.6 |      4.3    152     1
P4   25  150 |    36.0     7.6    31.8    63.7 |      3.5    153     1
P4   40  150 |    41.9    21.5    65.2   122.7 |      3.3    153     1
P5    4  150 |     8.0     3.5     6.0    12.6 |      5.7    151     1
P5    8  150 |    14.8     3.6     6.7    18.6 |      6.0    152     1
P5   15  150 |    27.1     3.7     7.6    19.6 |      6.3    154     1
P5   25  150 |    43.9     4.0     9.9    28.5 |      6.5    157     1
P5   40  150 |    64.9     5.4    16.9    45.5 |      6.8    160     1

== VALIDATE: today (P0) at the SHIPPED admission K=1; measured: 92% one-round lands, unit p95 48 min, max 82 min
  N  Lbg |  1-round%  p50min  p95min  maxmin   lands/h
  2   45 |       91%     4.6    12.9    38.8       3.7
  3   45 |       84%     4.9    17.1    36.5       5.0
  4   45 |       74%     5.2    24.3    78.3       6.2
  6   45 |       63%     5.2    45.5   134.3       8.6
  8   45 |       46%     9.1   175.9   603.0       6.8
  2  100 |       90%     5.4    14.9    34.9       3.5
  3  100 |       79%     5.7    20.5    50.3       4.8
  4  100 |       70%     5.7    31.5    72.3       6.6
  6  100 |       60%     6.1    64.2   202.8       7.9
  8  100 |       43%    10.4   200.3   814.6       5.9

== SENSITIVITY (background 150, K=2): q = P(incoming commit intersects), pf = partial/union, tf = incr/full tsc
cell   | lands/h  p50min  p95min | cpu/land
P215 q0.1 pf0.4 tf0.3 |    27.1     3.6     7.3 |      5.8
P225 q0.1 pf0.4 tf0.3 |    45.2     3.8     9.6 |      6.1
P240 q0.1 pf0.4 tf0.3 |    64.5     5.4    21.0 |      7.2
P315 q0.1 pf0.4 tf0.3 |    27.5     3.4     6.8 |      5.6
P325 q0.1 pf0.4 tf0.3 |    44.4     3.7     8.9 |      6.0
P340 q0.1 pf0.4 tf0.3 |    65.8     5.2    18.1 |      6.5
P515 q0.1 pf0.4 tf0.3 |    26.7     3.6     6.9 |      5.8
P525 q0.1 pf0.4 tf0.3 |    44.5     3.8     9.1 |      6.0
P540 q0.1 pf0.4 tf0.3 |    65.3     4.8    16.9 |      6.3
P215 q0.3 pf0.4 tf0.3 |    26.7     3.5     7.9 |      6.5
P225 q0.3 pf0.4 tf0.3 |    43.6     4.2    13.2 |      7.8
P240 q0.3 pf0.4 tf0.3 |    59.8     7.8    32.8 |      9.6
P315 q0.3 pf0.4 tf0.3 |    26.6     3.5     7.5 |      6.2
P325 q0.3 pf0.4 tf0.3 |    43.6     4.1    10.4 |      6.8
P340 q0.3 pf0.4 tf0.3 |    60.9     7.8    20.4 |      7.1
P515 q0.3 pf0.4 tf0.3 |    27.1     3.7     7.6 |      6.3
P525 q0.3 pf0.4 tf0.3 |    43.9     4.0     9.9 |      6.5
P540 q0.3 pf0.4 tf0.3 |    64.9     5.4    16.9 |      6.8
P215 q0.6 pf0.4 tf0.3 |    26.7     3.7     9.6 |      7.6
