lead_sid,config_dir,lead_transcript,member,subagent_type,brief_class,spawn_ok,spawn_ts_utc,n_idle_notifications,first_idle_utc,teardown_by_lead,teardown_ts_utc,latency_idle_to_teardown_s,idle_after_teardown,fleet_reap_ts_utc,fate,lead_last_record_utc,lead_disposition
a4ab5e74-4f5d-4fb6-83b6-023e1e5b37a7,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-cloud-lane-100p/a4ab5e74-4f5d-4fb6-83b6-023e1e5b37a7.jsonl,land-rca,deep-research,research,False,2026-08-23T07:22:55.667Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-08-23T09:49:58.943Z,no-spawn-succeeded
a4ab5e74-4f5d-4fb6-83b6-023e1e5b37a7,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-cloud-lane-100p/a4ab5e74-4f5d-4fb6-83b6-023e1e5b37a7.jsonl,liveness-rca,deep-research,research,False,2026-08-23T07:23:19.254Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-08-23T09:49:58.943Z,no-spawn-succeeded
c72ea92c-3d5a-4cad-8f5a-ccd9e4f2406f,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-conviction-close/c72ea92c-3d5a-4cad-8f5a-ccd9e4f2406f.jsonl,cc-backlog-conviction,general-purpose,ambiguous,False,2026-09-08T14:44:52.817Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-08T16:46:21.033Z,no-spawn-succeeded
c72ea92c-3d5a-4cad-8f5a-ccd9e4f2406f,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-conviction-close/c72ea92c-3d5a-4cad-8f5a-ccd9e4f2406f.jsonl,cc-decide-conviction,general-purpose,research,False,2026-09-08T14:45:19.466Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-08T16:46:21.033Z,no-spawn-succeeded
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-cloud-refs,general-purpose,research,True,2026-09-08T19:11:11.866Z,0,,shutdown_request,2026-09-08T20:04:40.923Z,,0,2026-09-08T21:41:11+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-wt-leak,general-purpose,research,True,2026-09-08T19:11:25.342Z,1,2026-09-08T20:00:49.733Z,shutdown_request,2026-09-08T20:04:42.348Z,233,0,2026-09-08T21:41:13+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-pane-attr,general-purpose,research,True,2026-09-08T19:11:36.640Z,0,,shutdown_request,2026-09-08T20:04:43.634Z,,0,2026-09-08T21:41:13+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-cloud-meter,general-purpose,research,True,2026-09-08T19:11:50.756Z,0,,shutdown_request,2026-09-08T20:04:44.930Z,,0,2026-09-08T21:18:38+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-recap-spec,general-purpose,research,True,2026-09-08T19:12:02.165Z,0,,shutdown_request,2026-09-08T20:04:46.535Z,,0,2026-09-08T21:41:19+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
29781a2d-16b5-4f12-880c-7dc7fd83b482,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-drain-lane-infra/29781a2d-16b5-4f12-880c-7dc7fd83b482.jsonl,adj-wlt-probe,general-purpose,impl,True,2026-09-08T19:12:22.429Z,2,2026-09-08T20:02:54.820Z,shutdown_request,2026-09-08T20:04:48.050Z,13,0,2026-09-08T22:01:16+00:00,torn down by lead,2026-09-08T20:36:32.978Z,shutdown_request-ALL
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q1-limit-exit,deep-research,research,False,2026-09-09T02:03:41.466Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q3-carveout,deep-research,research,False,2026-09-09T02:04:08.146Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
6cda2e02-a25d-4978-9610-e5b3b8e74b4e,.claude-quaternary,/Users/chrisren/.claude-quaternary/projects/-Users-chrisren-Development--worktrees-lr100p/6cda2e02-a25d-4978-9610-e5b3b8e74b4e.jsonl,q4-poller,deep-research,research,False,2026-09-09T02:04:35.033Z,0,,none,,,0,,spawn-refused (capacity-admit hook),2026-09-09T03:16:27.725Z,NOTHING
