close_ts_local,close_ts_utc,team,member,agent_type,pane,decidable,last_assistant_kind,last_assistant_age_s,pending_tool_use_at_close,deliverable_written_before_close,deliverable_paths_in_brief,lead_msg_to_member_within_10min,lead_msg_summary,patch_at_close,checkpoint_at_close,nothing_to_checkpoint,records_after_close,flags,verdict,member_transcript
2026-08-05 00:00:27,2026-08-05 05:00:27,session-2b3223b7,bi-lint,general-purpose,505,no,,,,,,,,yes,yes,,,,UNCERTAIN,
2026-08-05 01:04:38,2026-08-05 06:04:38,session-1a73adc1,a1-log,deep-research,10,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:05:21,2026-08-05 06:05:21,session-1a73adc1,a5-jobs,deep-research,14,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:07:49,2026-08-05 06:07:49,session-1a73adc1,a4-sensor,deep-research,13,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:08:19,2026-08-05 06:08:19,session-1a73adc1,a6-bash,deep-research,15,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:09:33,2026-08-05 06:09:33,session-1a73adc1,a3-panic,deep-research,12,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:13:11,2026-08-05 06:13:11,session-7cfd3968,next-beats,deep-research,23,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:13:27,2026-08-05 06:13:27,session-7cfd3968,app-routing,deep-research,20,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:13:51,2026-08-05 06:13:51,session-1a73adc1,a2-stats,deep-research,11,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:14:06,2026-08-05 06:14:06,session-1a73adc1,a8-kernel,deep-research,17,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:14:57,2026-08-05 06:14:57,session-7cfd3968,next163-docs,deep-research,21,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:15:29,2026-08-05 06:15:29,session-1a73adc1,a7-wreckage,deep-research,16,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:15:33,2026-08-05 06:15:33,session-7cfd3968,prior-art,deep-research,24,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:15:51,2026-08-05 06:15:51,session-7cfd3968,repl-arch2,deep-research,25,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:17:52,2026-08-05 06:17:52,session-1a73adc1,a9-hostile,deep-research,18,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 01:52:49,2026-08-05 06:52:49,session-1a73adc1,tm-sentinel,,29,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 14:58:14,2026-08-05 19:58:14,session-59943c5d,gi-lint,,95,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 15:30:34,2026-08-05 20:30:34,session-59943c5d,gi-bisect,,97,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 15:46:17,2026-08-05 20:46:17,session-beaf9cf8,L5,general-purpose,110,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 15:48:26,2026-08-05 20:48:26,session-beaf9cf8,L26,general-purpose,116,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 15:49:04,2026-08-05 20:49:04,session-beaf9cf8,L29,general-purpose,118,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 15:53:36,2026-08-05 20:53:36,session-beaf9cf8,L28,general-purpose,117,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-05 15:53:37,2026-08-05 20:53:37,session-beaf9cf8,L13,general-purpose,112,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-05 15:53:38,2026-08-05 20:53:38,session-beaf9cf8,L25,general-purpose,114,no,,,,,,,,,,,,,UNCERTAIN,
2026-08-05 15:53:40,2026-08-05 20:53:40,session-beaf9cf8,L3,general-purpose,109,no,,,,,,,,,,yes,,,UNCERTAIN,
2026-08-05 16:37:04,2026-08-05 21:37:04,session-59943c5d,gi-corpus,,96,no,,,,,,,,,,yes,,,UNCERTAIN,
